Just so i know what it is,,,Where the event canvas will be,Overall Positivity. If sad positive is more likely. True or false,True or false. Insane events will only have a chance of happening when the insanity stat is high enough,Higher or lower chance of events happening. 1 is high 0.1 is low,Negative is negative effect to happiness. Positive is positive effect,These will add and subtract directly from the happiness. 1 is like ecstatic 0 is suicidal,Event timeframe. This is the minimum day it can happen,,A month in this game is 30 days. There will be 3 months of gameplay. The player plays every 3 days of this guys life. Meaning there will be 30 days of their playtime. 3-5 events will happen per day,,ALFIE YOU REMOVED ALL THE 3RD CHOICE COLUMNS REMEMBER
,,,,,,,,,,,,,
Event Description,Choice one,Choice two,Location,Positive,Insane,Probability,Choice 1 influence,Choice 2 influence,Timeframe,,,,
Phone notification about dad,"Hey developer, your dad just got admitted to hospital. We've not talked in a while are you ok?","Hey developer, your dad got promomoted at work!",phone on desk,FALSE,FALSE,0.5,-0.2,0.1,0,,,,
Phone notification. We are watching,WE'RE WATCHING YOU,WE'RE WATCHING YOU,phone on desk,FALSE,TRUE,0.3,-0.3,-0.3,0,,,,
Latest social media post gets positive attention,Developer gained 5 new likes!,Developer gained 5 new followers!,phone on desk,TRUE,FALSE,0.5,0.1,0.1,0,,,,
Game jam is due in a week how u doin,A friend messages the developer: Hey man hows that game jam going?,"Person messsages the developer: Im already done with my game, you may as well just quit",computer screen,FALSE,FALSE,0.5,0,-0.1,28,,,,
Funny joke letter,The Developer recieves a letter with a funny joke on it,The developer recieves a letter letting him know that he has won the peoples postcode lottery! (3 pounds),mail,TRUE,FALSE,0.2,0.2,0.2,0,,,,
scary letter arrives through mail,A letter arrives warning the developer of their copyright infringement,A letter arrives reminding the developer to pay their tv license,mail,FALSE,FALSE,0.2,-0.4,0.2,0,,,,
Finding beloved recipie (the bad result makes the player laugh because the food is so bad its funny),The developer tries a family recipie and its great,The developer tries a family recipe and its laughably bad,kitchen,TRUE,FALSE,0.3,0.2,0.2,0,,,,
Game crashes unexpectedly,The game crashes but can be restarted with no loss,The game crashes catastrophically and a day of work is lost,computer screen,FALSE,FALSE,0.3,0.1,-0.3,0,,,,
Sudden power outage,There is a power cut but the developer saves progress in the nick of time,The developer loses all unsaved progress in a power cut,computer screen,FALSE,FALSE,0.2,0.2,-0.2,0,,,,
Coffee,The developers coffee machine breaks,The developer makes some excellent coffee,kitchen,FALSE,FALSE,0.3,-0.2,0.2,0,,,,
Lost internet connection,The developer loses internet but fixes the connection successfully,The developer loses internet and has to wait for the connection to come back,computer screen,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Sudden software update,An update is released for the developers computer making it faster!,An update comes out for the developers computer and breaks everything!,computer screen,FALSE,FALSE,0.3,0.2,-0.2,0,,,,
Unread message from a potential collaborator,The developer recieves a message offering assistance on their project,The developer recieves an obnoxious spam message,phone on desk,FALSE,FALSE,0.4,0.1,-0.1,0,,,,
Game prototype gets positive feedback,A prototype of the game has recieved excellent feedback,A prototype of the game has recieved very negative feedback,computer screen,FALSE,FALSE,0.4,0.2,-0.2,0,,,,
New game development tool discovered,The developer discovered a new tool speeding up development,The developer forgets how to use a piece of software causing delays,computer screen,FALSE,FALSE,0.3,0.1,-0.2,0,,,,
Letter from potential sponsor,The develoer recieves a letter from a potential sponsor,The developer recieves a letter saying that their sponsorship request has been denied,mail,FALSE,FALSE,0.2,0.2,-0.3,0,,,,
Game development breakthrough,The developer discovers a game-changing idea,The developer hits a creative block,computer screen,FALSE,FALSE,0.4,0.2,-0.2,0,,,,
Lost game progress due to a crash,The developer's computer crashes but they successfully recover it,The developer loses all their progress to a crash,computer screen,FALSE,FALSE,0.3,0.2,-0.3,0,,,,
Encouraging email from a player,The developer recieves a letter from a fan praising their work,The developer recieves a letter from a hater criticising their work,mail,FALSE,FALSE,0.3,0.2,-0.2,0,,,,
Unread message from a fan,The developer recieves a message from a fan praising their work,The developer recieves a message from a hater criticising their work,phone on desk,FALSE,FALSE,0.4,0.2,-0.2,0,,,,
Unexpected internet speed boost,The developers internet unexpectedly speeds up,The developers internet slows down to the point its barely usable,computer screen,FALSE,FALSE,0.3,0.1,-0.2,0,,,,
Important email from sponsor,The developer recieves an email from a sponsor praising their progress,The developer recieves an email reminding them of the looming deadline,mail,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Game bug discovered,Developer encounters a bug but fixes it quickly,Developer struggles to fix a bug,computer screen,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Unexpected inspirational message from a friend,A friend sends the developer a motivational message,A friend sends the developer a funny meme,phone on desk,TRUE,FALSE,0.3,0.1,0.1,0,,,,
Unexpected letter arrives,The developer recieves a letter notifying them of a tax rebate,Package contains a bill for unpaid taxes,mail,FALSE,FALSE,0.3,0.1,-0.2,0,,,,
Developer receives fan mail,A letter is recieved containing admiration for the developer's work,A letter is recieved containing constructive criticism of the developer's work,mail,TRUE,FALSE,0.4,0.2,0.1,0,,,,
Phone call from an old friend,An old friend calls offering words of encouragment,An old friend calls saying that a mutal friend of theirs has died,phone on desk,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Unexpected compliment on social media,Developer receives a compliment on their work,Developer receives a negative comment on their work,phone on desk,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Missing game assets,Developer miraculously finds some missing assets,Developer spends hours searching in vain to find some missing assets,computer screen,FALSE,FALSE,0.2,0.2,-0.2,0,,,,
